,name,type,shape_in,shape_out,size_in,size_out,activations,weights
0,input_2,InputLayer,"(60, 31, 1)","(60, 31, 1)",1860,1860,1860,
1,conv0,Conv2D,"(60, 31, 1)","(30, 16, 22)",1860,10560,10560,572
4,conv1_pw,Conv2D,"(30, 16, 22)","(15, 8, 16)",10560,1920,1920,16
5,conv1_ds,SeparableConv2D,"(15, 8, 16)","(15, 8, 33)",1920,3960,1920,
9,conv2_pw,Conv2D,"(17, 10, 33)","(9, 5, 24)",5610,1080,1080,24
10,conv2_ds,SeparableConv2D,"(9, 5, 24)","(5, 1, 49)",1080,245,120,
14,dense_3,Dense,"(245,)","(64,)",245,64,64,15744
15,activation_3,Activation,"(64,)","(64,)",64,64,64,
17,dense_4,Dense,"(64,)","(10,)",64,10,10,650
19,activation_4,Activation,"(10,)","(10,)",10,10,10,
